City,2010 Population,2017 Population,% Pop. Change,Raw Pop. Change
Aberdeen Township,18157,18232,0%,75
Absecon,"8,500","8,173",-4%,-327
Alexandria Township,4938,4805,-3%,-133
Allamuchy Township,4323,4644,7%,321
Allendale ,"6,515","6,799",4%,284
Allenhurst ,495,486,-2%,-9
Allentown ,"1,823","1,799",-1%,-24
Alloway Township,3467,3327,-4%,-140
Alpha ,"2,364","2,277",-4%,-87
Alpine ,"1,820","1,862",2%,42
Andover ,601,565,-6%,-36
Andover Township,6319,5978,-5%,-341
Asbury Park ,"16,118","15,667",-3%,-451
Atlantic  ,"39,541","37,919",-4%,-1622
Atlantic City,39558,38429,-3%,-1129
Atlantic Highlands ,"4,378","4,285",-2%,-93
Audubon ,"8,812","8,656",-2%,-156
Audubon Park ,"1,022","1,004",-2%,-18
Avalon ,"1,335","1,262",-5%,-73
Avon-by-the-Sea ,"1,899","1,782",-6%,-117
Barnegat Light ,586,585,0%,-1
Barnegat Township,20726,20540,-1%,-186
Barrington ,"6,954","6,716",-3%,-238
Bass River Township,1443,1436,0%,-7
Bay Head ,971,974,0%,3
Bayonne ,"63,052","65,347",4%,2295
Beach Haven ,"1,172","1,177",0%,5
Beachwood ,"11,052","11,201",1%,149
Bedminster,8165,8210,1%,45
Belleville,35926,36498,2%,572
Bellmawr ,"11,602","11,395",-2%,-207
Belmar,5794,5682,-2%,-112
Belmar ,"5,791","5,645",-3%,-146
Belvidere,2681,2603,-3%,-78
Belvidere town,"2,678","2,581",-4%,-97
Bergenfield,26652,27061,2%,409
Bergenfield ,"26,850","27,469",2%,619
Berkeley Heights,12754,13224,4%,470
Berkeley Township,41255,41747,1%,492
Berlin ,"7,638","7,548",-1%,-90
Bernards Township,26535,27346,3%,811
Bernardsville ,"7,735","7,697",0%,-38
Bethlehem Township,3979,3888,-2%,-91
Beverly ,"2,547","2,485",-2%,-62
Blairstown,5967,5808,-3%,-159
Bloomfield,47315,50970,8%,3655
Bloomingdale ,"7,666","8,090",6%,424
Bloomsbury ,873,843,-3%,-30
Bogota ,"8,188","8,427",3%,239
Boonton,"8,348","8,261",-1%,-87
Bordentown ,"3,921","3,813",-3%,-108
Bound Brook ,"10,433","10,312",-1%,-121
Bradley Beach ,"4,303","4,198",-2%,-105
Branchburg,14432,14502,0%,70
Branchville ,829,779,-6%,-50
Brick Township,75072,75516,1%,444
Bridgeton ,"25,353","24,564",-3%,-789
Bridgewater Township,44464,45414,2%,950
Brielle ,"4,757","4,694",-1%,-63
Brigantine ,"9,446","8,842",-6%,-604
Brooklawn ,"1,947","1,911",-2%,-36
Buena ,"4,604","4,371",-5%,-233
Buena Vista Township,7570,7422,-2%,-148
Burlington ,"9,941","9,782",-2%,-159
Burlington Township,22306,22489,1%,183
Butler ,"7,665","7,684",0%,19
Byram Township,8350,7983,-4%,-367
Caldwell ,"7,896","7,976",1%,80
Califon ,"1,070","1,063",-1%,-7
Camden ,"76,982","73,893",-4%,-3089
Cape May ,"3,613","3,477",-4%,-136
Cape May Point,291,279,-4%,-12
Cape May Point ,291,278,-4%,-13
Carlstadt,6127,6314,3%,187
Carlstadt ,"6,127","6,214",1%,87
